CMDLINE python '/Users/twishisaran/Documents/Spring 2023 - CSUN/COMP 589 - Software Metrics/Project/PythonProject/Earthquake_Magnitude/app/views.py'
MEM 0.812500 1680812804.5369
MEM 24.734375 1680812804.6424
MEM 39.839844 1680812804.7476
MEM 55.066406 1680812804.8528
MEM 63.546875 1680812804.9580
MEM 75.589844 1680812805.0631
MEM 86.191406 1680812805.1683
MEM 96.402344 1680812805.2735
MEM 101.933594 1680812805.3787
MEM 107.753906 1680812805.4839
MEM 113.835938 1680812805.5890
MEM 121.128906 1680812805.6942
MEM 126.867188 1680812805.7994
MEM 136.312500 1680812805.9045
MEM 144.847656 1680812806.0097
MEM 154.007812 1680812806.1116
MEM 162.414062 1680812806.2167
MEM 166.945312 1680812806.3220
MEM 157.304688 1680812806.4272
