CMDLINE python '/Users/twishisaran/Documents/Spring 2023 - CSUN/COMP 589 - Software Metrics/Project/PythonProject/Earthquake_Magnitude/app/magnitude.py'
MEM 0.554688 1680812668.8880
MEM 28.718750 1680812668.9936
MEM 49.058594 1680812669.0988
MEM 62.691406 1680812669.2040
MEM 77.199219 1680812669.3092
MEM 86.753906 1680812669.4144
MEM 96.382812 1680812669.5196
MEM 109.148438 1680812669.6248
MEM 116.777344 1680812669.7300
MEM 130.570312 1680812669.8352
MEM 143.730469 1680812669.9363
MEM 151.058594 1680812670.0415
MEM 154.140625 1680812670.1467
