CMDLINE python app/magnitude.py
MEM 0.464844 1680812100.2528
MEM 28.332031 1680812100.3583
MEM 49.308594 1680812100.4635
MEM 62.710938 1680812100.5687
MEM 77.023438 1680812100.6739
MEM 86.031250 1680812100.7791
MEM 95.613281 1680812100.8843
MEM 107.660156 1680812100.9895
MEM 114.394531 1680812101.0907
MEM 128.167969 1680812101.1955
MEM 141.929688 1680812101.3007
MEM 149.011719 1680812101.4060
MEM 153.648438 1680812101.5105
